Unnamed: 0;Région;Dept;Commune;Nom;Date de fouille/découverte;localisation topographique;Coordonnées x (Lambert 93);Coordonnées y (Lambert 93);Occupation nécropole;Datation;Protohistoire ind;Hallstatt indéterminé;Etape 1 Hallstatt B2-B3 - Hallstatt C1;Hallstatt B2-B3 (850-800);Hallstatt C1 (800-660);Etape 2 Hallstatt C2 - Hallstatt D1;Hallstatt C2 (660-620);Hallstatt D1 (620-550);Etape 3 Hallstatt D2 - Hallstatt D3;Hallstatt D2 (550-500);Hallstatt D3 (500-480);Tertre (élévation);Tertre arasé;cercle funéraire;Langgraben;Autre;Inhumation;crémation;pratique funéraire indéterminée;Présence textiles;signalisation/stèle;Architecture tombe/bois;tombe élitaire;tombe à armes;Chronologie et commentaires;biblio
1;Alsace;67;Altorf;Lange Stein;;placage lœss;1034400;6834330;-;Ha D;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;-;crémation sous une stèle ? = Dorlisheim Gaensweidt;cag67
2;Alsace;67;Barr;non localisé;;placage lœss;1029876;6821099;-;Ha C;-;-;-;-;-;1;1;-;;-;-;1;;;;;;;1;;;;;;1 tumulus avec bracelets à tampons Hallstatt C;cag67
3;Alsace;67;Benfeld;;;graviers;1040045;6817485;-;Ha D1;-;-;-;-;-;;-;1;;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;bracelets à tampons Hallstatt D1, ;cag67
4;Alsace;67;Bernolsheim/Mommenheim;Plateforme dép;2011-2014;placage lœss;1043960;6860163;Ha C - LT A;Ha C;-;;1;;1;1;1;;;;;-;-;;;;;3;;;;;;;Trois crémations dans des ossuaires en céramique avec uniquement des vases comme mobilier s'intègrent dans une zone funéraire plus importante mais peu dense;Cony, Rault 2022
4;Alsace;67;Bernolsheim/Mommenheim;Plateforme départementale d'activités de Brumath zone 18-23 phase Ha C2-Ha D3./LTA;2011-2014;placage lœss;1043960;6860163;Ha C - LT A;Ha C2-HaD3/LTA;-;;;;;1;1;1;1;1;1;-;-;2;;;11;;;;;1;;;s'intègrent dans une zone funéraire plus importante mais peu dense (phase Ha C composé de 3 crémations) en plus des 5 inhumatiojns attesté pour cette phase 6 non datées ou mal datées peuvent également y être associé) 2 enclos circulaires, présence coffrage en bois, trois regroupement de tombes, nombreux mobiliers dont torque, perle en verre, bracelet en roche noire et alliage cuivreux, anneuax de cheville, pendeloques, ceinture abdominales, fibules, épingle, agrafe, trousses de toilettes, couteau;Cony, Rault 2022
4;Alsace;67;Bernolsheim/Mommenheim;Plateforme départementale d'activités de Brumath zone 19;2011-2014;placage lœss;1043960;6860163;Bz D- Ha C-D1; Ha C-D1;-;;1;;1;1;1;1;;;;-;-;;;;;3;;;;;;;3 dépots de crémation avérés (19063, 19025, 19154) pour cette phase mais la zone funéraire est composé d'au moins dix-neuf dépôts secondaires de crémation pour l'ensemble de la nécropole avec au moins une phase au Bz D  - 2 crémation, une phase au Ha A1 - 3 crémations, Une au Ha A2 : 4 crémations et 7 qui ne sont pas datées précisément) note hiatus au Ha B1 et B2/B3. Puet petre implanté le long d'un axe de communication (voirie?) mobilier uniquement composé de céramique;Cony, Rault 2022
4;Alsace;67;Bernolsheim/Mommenheim;Plateforme départementale d'activités de Brumath zone 7;2011-2014;placage lœss;1043603;6860586;-;Ha D1-D3;-;;;;-;1;-;1;1;1;1;;1;;;;5;;;oui;;1;;;5 inhumations, présence d'un tertre suspecté au diag. nombreux mobilier métalliques, en ambre, en roche noire : fibules, torque, bracelet, collier de perles, bracelet de cheville. coffrage en bois pour 4 des inhumations.;Cony, Rault 2022
4;Alsace;67;Bernolsheim/Mommenheim ;Plateforme départementale d'activités de Brumath zone 2;2011-2014;placage lœss;1043016;6860471;-;Ha D1-D2;-;;;;-;1;;1;1;1;;-;-;4;;;8;1;;1;;1;;1;4 enclos dont un double. Enclos 2 : 1 inhumation avec deux fer de lance et deux fibule en son centre. enclos 3 4 inhumations (+ 1 probable) et 1 dépôts secondaire de crémation. Enclos 4 deux inhumations. Traces de coffrage. mobilier riche : perle tonnelet en ambre, torque massif, brassards tonnelets, 11 armilles, 2 pendeloques en or, 1 plaque de ceinture;"Cony, Rault 2022 ; Cony, Mulot et al.  à paraitre"
5;Alsace;67;Bischoffsheim;Langeschiesse;;placage lœss;1033489;6830824;-;Ha C-D1;;;;;1;;1;1;;-;-;;;;;;3;;;;;;;;3 tombes avec bracelets en lignite, anneau en bronze;cag67
6;Alsace;67;Brumath;groupe nord;;graviers;1044304;6853996;-;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;6 tumulus (tum 20, 21, 28, 31, 35 et 36);cag67
7;Alsace;67;Brumath;groupe sud (site global);;graviers;1045246;6854246;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;4 tumulus (tum 4, 6, 17 et 66);cag67
8;Alsace;67;Brumath/Eckwersheim;Burgweg Rechts, zone de stockage, LGV Est;;placage lœss;1045143;6853715;Bz C - Ha D2;Ha C2-D1;-;;;-;-;1;1;1;;-;-;x;-;2;-;-;2;1;;1;;1;1;;rasoir en fer, situle. Même nécropole que Brumath sud;Féliu 2010 (BSR) et rapport 2023
8;Alsace;67;Brumath/Eckwersheim;Burgweg Rechts, zone de stockage, LGV Est;;placage lœss;1045143;6853715;Bz C - Ha D2;Ha D1-D2;;;;;;;;1;;1;;1;;2;;;20;;;;;;;;rasoirs en fer, fibules, anneaux de bras, boucles d'oreille, ceinture, bracelets, brassards-tonnelets, épingles, torques;Féliu 2010 (BSR) et rapport 2024
9;Alsace;67;Dachstein;Leffert (à cheval sur la commune d'Ernolsheim Bruche);;;1034723;6838041;Hallstatt;Ha;;1;;;;;;;;;;plusieurs;-;-;-;-;;;;;oui;;;;mention d'un groupe de tumulus à stèle du hallstatt étudié par Forrer en 1913;cag 67
10;Alsace;67;Dingsheim Stutzheim-Offenheim;Haspelacker et Aufs Dingsheimer Feld COS 4-1;2018-2019;placage loess;1041947;6846356;Ha D1-D2;Ha D1-D2;;;;;;1;;1;1;1;;;1;;;;6 +1;;;oui (sur un bracelet de la sépulture 533);;oui;;;6 inhumation dont une double (7 individus) formant un groupe funéraire (pas d'indice de présence de tertre) et une isolée, traces de coffrage pour 5 sépultures, 5 enveloppes souples restituté. 4 sépultures ont livré du mobilier. 532 : un fragment de polissoir. 533 : 1 boucle d'oreille filiforme avec perle en verre et une pendeloque triangulaire (avec dent animale) + un collier composé d'un grand anneau central, 2 perles en verre, 2 annelet, 4 perles en roche noire, 1 perle en terre cuite, 2 bracelet en ruban incisés, 1 pince à épiler, 1 annelet. 442 : 1 boucle d'oreille à jonc creux, 1 perle globulaire bleue turquoise en verre, une virole en fer un galet en quartzite. 531 : un collier composé d'un anneau, 2 annelets en roche noire, 1 perles en ambre, 2 bracelet de moyenne hauteur en roche noire, 1 galet. 610 : 2 bracelets de moyenne hauteur (terre cuite et roche noire). Il semblerait que se soit les tombes féminines qui ont livré du mobilier. les tombes masculines pas de mobilier (prudence quand même,les ossements sont mal conservés). L'inhumation double (532) correspond à l'inhumations de deux ado (14-16 ans et 13-14 ans);Habsque-Sudour 202
11;Alsace;67;Duttlenheim;Ampfad et Neustrasse - COS 1.3;2018;placage lœss;1038067;6834890;Ha B2-B3 - Ha D1;Ha C2-D1;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;52;-;;-;-;-;-;-;52 inhumations, bracelets en bronze, en fer, en fer et bronze, en lignite, pendeloques. Population féminine surreprésentée. Datation : Ha D1 avec une tombe LTA1.;Bulletin de l’Association française pour l’étude de l’âge du fer, 2021, 39, pp.13-16. 
11;Alsace;67;Duttlenheim;Ampfad et Neustrasse - COS 1.3, étape 1;2018;placage lœss;1038067;6834890;Ha B2-B3 - Ha D1;Ha B2-B3;-;-;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;10;;-;-;-;-;-;10 sépultures à crémation contenues en urnes céramique, 1 langgraben, 1 enclos circulaire;Rapport Duttlenheim, Seguin 
12;Alsace;67;Eckwersheim;"Burgweg Rechts,
LGV Est Européenne 2e phase - zone de stockage";2023;;1045143;6853715;Bz D - Ha D2;;;;;;;1;;1;;;;1;1;;;;19;;;;;;;;;Féliu 2023
13;Alsace;67;Elsenheim;;ancienne;rieds;1034282;6794103;-;Ha C2-D1;;;;;1;;1;1;;-;-;;;;;;;;2;;;;;;4 bracelets à boules;cag67
14;Alsace;67;Ergersheim;;ancienne;placage lœss;1034040;6839547;-;Ha D;;;;;-;;-;1;;1;1;;;;;;;;1;;;;;;gd anneau en bronze et fgt de grand bracelet plat;cag67
