Code_national_de_l_EA;Identification_de_l_EA;Numero_de_l_EA;Nom_de_la_commune;Nom_et_ou_adresse
11121;1121 / 67 001 0006 / ACHENHEIM /  / Breite / Age du bronze - Age du fer / fosse;67 001 0006;ACHENHEIM;
18662;8662 / 67 001 0020 / ACHENHEIM /  / Im Huhnerpfad / Age du bronze - Age du fer / fosse;67 001 0020;ACHENHEIM;
112308;12308 / 67 001 0038 / ACHENHEIM /  / Kleinfeld / Age du fer - Gallo-romain / fosse;67 001 0038;ACHENHEIM;
110901;10901 / 67 008 0013 / ALTORF /  / Birckenwald / tumulus / Age du bronze - Age du fer;67 008 0013;ALTORF;
112163;"12163 / 67 008 0022 / ALTORF /  / Osterlaeng / Age du fer / épingle;";67 008 0022;ALTORF;
112166;12166 / 67 008 0025 / ALTORF /  / Vier Aecker / occupation / Age du fer - Gallo-romain;67 008 0025;ALTORF;
18342;8342 / 67 019 0009 / BALDENHEIM /  / SCHLITTWEG / habitat / Age du fer - Gallo-romain;67 019 0009;BALDENHEIM;
18344;8344 / 67 019 0011 / BALDENHEIM /  / UNTEN AN DER BAUMATT / habitat / Age du fer - Gallo-romain;67 019 0011;BALDENHEIM;
1172;172 / 67 021 0011 / BARR / Localisation inconnue /  / tumulus / Age du fer;67 021 0011;BARR;Localisation inconnue
11956;1956 / 67 021 0012 / BARR / / / voie / Age du fer;67 021 0012;BARR;
18525;8525 / 67 021 0015 / BARR /  / 77 avenue des Vosges / voie / Age du bronze - Age du fer;67 021 0015;BARR;
18531;8531 / 67 021 0021 / BARR /  / Kienberg / Age du bronze - Age du fer / objet métallique;67 021 0021;BARR;
18675;8675 / 67 021 0023 / BARR /  / Buhl / occupation / Age du bronze - Age du fer;67 021 0023;BARR;
112976;12976 / 67 023 0007 / BATZENDORF /  / Rue Prinipale / RD 139 / habitat / Age du bronze - Age du fer;67 023 0007;BATZENDORF;
143;43 / 67 028 0001 / BENFELD / EHL-BENFELD /  / cimetière / habitat / Age du bronze - Age du fer;67 028 0001;BENFELD;EHL-BENFELD
18280;8280 / 67 028 0019 / BENFELD / / BEI EHL / tumulus / Age du bronze - Age du fer;67 028 0019;BENFELD;
18281;8281 / 67 028 0020 / BENFELD / / RUE DU CHATELET / habitat / Age du bronze - Age du fer;67 028 0020;BENFELD;
111907;11907 / 67 033 0011 / BERNOLSHEIM / PDA /  / Age du fer / fosse, incinération, inhumation;67 033 0011;BERNOLSHEIM;PDA
111681;11681 / 67 034 0018 / BERSTETT /  / Klaemmel / Age du fer / fosse, silo;67 034 0018;BERSTETT;
110276;10276 / 67 035 0001 / BERSTHEIM /  / Froehn / sépulture / Age du fer;67 035 0001;BERSTHEIM;
