id_site;pays;admin1;commune;lieu_dit;lieu_dit_autre;x;y;epsg_coord;decouverte_annee;decouverte_operation;ref_biblio;ref_rapport;auteur;date;commentaire
1;France;Bas-Rhin;Saverne;Fossé des Pandours;;7.331004;48.7550876;4326.0;1914;première mention bibliographique;Fichtl et alii 2021;;Clément Féliu;2026-02-07;
2;France;Bas-Rhin;Neubois;Frankenbourg;Schlossberg;7.324984;48.295214;4326.0;1883;première mention bibliographique;Féliu 2021;Féliu 2014, Féliu 2015, Féliu 2016, Féliu 2017, Féliu 218, Féliu 2019, Féliu 2020, Féliu 2021, Féliu 2022;Clément Féliu;2026-02-12;
3;France;Bas-Rhin;Hatten;Rothsmatt;;8.000836;48.896084;4326.0;2001;diagnostic;Roth-Zehner 2005; Werlé 2001, Zehner 2001;Clément Féliu;2026-02-12;
4;France;Bas-Rhin;Altorf/Dorlisheim;Lange Stein/Gaensweidt;;7.530971347;48.52284007;4326.0;1928;fouille;"Schweighaeuser 1822, 352 ; Gerlinger 1929 ; Dotzle, 1997 ; 118 Flotté, Fuchs 2000 (CAG 67), Altorf, site n° 013.";;Muriel Roth-Zehner;2026-02-13;
5;France;Bas-Rhin;Barr;Sur le ban communal;;7.459690247;48.40632037;4326.0;19e siècle;fouille;"Linckenheld, Schirardin 1936, 66 ; Lasserre, 1995, n° 67000 ; Flotté, Fuchs 2000 (CAG 67), Barr, site n° 011.";;Muriel Roth-Zehner;2026-02-13;
6;France;Bas-Rhin;Benfeld;entre Benfeld et Ehl;;7.594022961;48.36861769;4326.0;19e siècle;découverte fortuite;"Degen, 1968, 542, fig. 12, n° 2 ; Koenig, 1985, vol. 2, 3-5 ; Flotté, Fuchs 2000 (CAG 67), Benfeld";;Muriel Roth-Zehner;2026-02-13;
7;France;Bas-Rhin;Bernolsheim/Mommenheim;Plateforme départementale d'activités de Brumath zone 18-23;;7.680932865;48.74979758;4326.0;2011-2014;fouille;;"Cony, Rault 2023a ; 2023b";Muriel Roth-Zehner;2026-02-13;
8;France;Bas-Rhin;Bernolsheim/Mommenheim;Plateforme départementale d'activités de Brumath zone 19;;7.680932865;48.74979758;4326.0;2011-2014;fouille;;"Cony, Rault 2023a ; 2023b";Muriel Roth-Zehner;2026-02-13;
9;France;Bas-Rhin;Bernolsheim/Mommenheim;Plateforme départementale d'activités de Brumath zone 7;;7.676426355;48.75378552;4326.0;2011-2014;fouille;;"Cony, Rault 2023a ; 2023b";Muriel Roth-Zehner;2026-02-13;
10;France;Bas-Rhin;Bernolsheim/Mommenheim;Plateforme départementale d'activités de Brumath zone 2;;7.668363496;48.75306524;4326.0;2011-2014;fouille;;"Cony, Rault 2023a ; 2023b";Muriel Roth-Zehner;2026-02-13;
11;France;Bas-Rhin;Betschdorf;Oberbetschdorf/forêt au sud de Betschdorf;;7.937768;48.869154;4326.0;1862;fouille;"P.V. du 4 janvier 1864, B.S.C.M.H.A., 2, 2, 127-129 ; F. A. Schaeffer, 1930, p. 176-180 ; Flotté, Fuchs 2000 (CAG 67), Betschdorf";"Tremblay Cormier, Véber 2018 ; Tremblay Cormier 2020 ; 2022";Muriel Roth-Zehner;2026-02-13;reprise récente des données dans PCR Haguenau
12;France;Bas-Rhin;Bischoffsheim;Langeschiesse;;7.515940773;48.49182153;4326.0;1946-1947;fouille;"Glory  1954, 20-24 ; Normand, 1973, 78-79. ; Flotté, Fuchs 2000 (CAG 67), Bischoffsheim, site n° 023";;Muriel Roth-Zehner;2026-02-13;
13;France;Bas-Rhin;Brumath;;groupe nord;7.680634329;48.69424402;4326.0;19e siècle;fouille;M. de Ring 1865, 18-24, pl. VII-XII ;;Muriel Roth-Zehner;2026-02-13;
14;France;Bas-Rhin;Brumath;;groupe sud;7.69361201;48.69598604;4326.0;19e siècle;fouille;M. de Ring 1865, 18-24, pl. VII-XII ;;Muriel Roth-Zehner;2026-02-13;
15;France;Bas-Rhin;Dachstein/Ernolsheim-Bruche;Leffert;;7.538224945;48.55600108;4326.0;19e siècle;fouille;"Forrer 1913, 342-353 ; Dotzler 1997, 117-118  ; Flotté, Fuchs 2000 (CAG 67), Ernolsheim-sur-Bruche, site n° 001";;Muriel Roth-Zehner;2026-02-13;Leffert, à cheval sur les communes de Dachstein et d'Ernolsheim Bruche
16;France;Bas-Rhin;Dingsheim Stutzheim-Offenheim;Haspelacker et Aufs Dingsheimer Feld ;COS 4-1;7.642566806;48.62689478;4326.0;2018;fouille;;Habasque-Sudour 2021;Muriel Roth-Zehner;2026-02-13;
17;France;Bas-Rhin;Duttlenheim;Ampfad et Neustrasse;COS 1-3;7.580986477;48.52596706;4326.0;2018;fouille;;Seguin 2021;Muriel Roth-Zehner;2026-02-13;
18;France;Bas-Rhin;Eckwersheim;Burgweg Rechts;LGV EE, zone de stockage;7.691786592;48.69127343;4326.0;2009;fouille;;Féliu 2023;Muriel Roth-Zehner;2026-02-13;même site que Brumath groupe sud
19;France;Bas-Rhin;Elsenheim;Niedermatten;;7.498358755;48.16157044;4326.0;1862;fouille;"A. Coste, 1863-64, carte ; Flotté, Fuchs 2000 (CAG 67), Elsenheim, site n° 005 et 010";;Muriel Roth-Zehner;2026-02-13;
20;France;Bas-Rhin;Ergersheim;Sur le ban communal;;7.530155199;48.56987852;4326.0;1930;découverte fortuite;"Schaeffer 1930, 180 ; Normand 1973, 82 ; Flotté, Fuchs 2000 (CAG 67), Ergersheim, site n° 008.";;Muriel Roth-Zehner;2026-02-13;
